location,metric,winery,country,lat,lon
"François Baur winery ,Alsace, Alsace, France",4.0,François Baur,France,48.0864239,7.2773979
"Frédéric Lornet winery ,Arbois, France Other, France",4.0,Frédéric Lornet,France,46.902851,5.772342
"Frédéric Mallo winery ,Alsace, Alsace, France",4.0,Frédéric Mallo,France,48.1797662,7.3101742
"Gabriel Meffre winery ,Vin de France, France Other, France",7.0,Gabriel Meffre,France,44.1696208,5.0028488
"Georges Vigouroux winery ,Côtes de Gascogne, Southwest France, France",4.0,Georges Vigouroux,France,,
"Gustave Lorentz winery ,Alsace, Alsace, France",5.0,Gustave Lorentz,France,48.20479400000001,7.358060000000001
"Gérard Bertrand winery ,Pays d'Oc, Languedoc-Roussillon, France",4.0,Gérard Bertrand,France,43.1674381,3.1141054
"Gérard Bertrand winery ,Vin de Pays d'Oc, Languedoc-Roussillon, France",4.0,Gérard Bertrand,France,43.5912356,3.2583626
"Haut Marin winery ,Côtes de Gascogne, Southwest France, France",4.0,Haut Marin,France,43.876097,0.230675
"Helfrich winery ,Alsace, Alsace, France",4.0,Helfrich,France,48.6221769,7.4839214
"Henri Bourgeois winery ,Val de Loire, Loire Valley, France",4.0,Henri Bourgeois,France,47.5532402,1.0105289
"Henri Schoenheitz winery ,Alsace, Alsace, France",6.0,Henri Schoenheitz,France,48.0521811,7.2051364
"Henriet-Bazin winery ,Champagne, Champagne, France",4.0,Henriet-Bazin,France,49.1359067,4.1991393
"Henry Marionnet winery ,Touraine, Loire Valley, France",4.0,Henry Marionnet,France,47.4001339,1.4978762
"Hubert Meyer winery ,Alsace, Alsace, France",4.0,Hubert Meyer,France,48.3418933,7.420122500000001
"Hugel winery ,Alsace, Alsace, France",8.0,Hugel,France,48.16658409999999,7.297227400000001
"J. Dumangin Fils winery ,Champagne, Champagne, France",4.0,J. Dumangin Fils,France,49.157279,4.0622551
"Jean Becker winery ,Alsace, Alsace, France",4.0,Jean Becker,France,48.1681558,7.3213246
"Jean-Baptiste Adam winery ,Alsace, Alsace, France",7.0,Jean-Baptiste Adam,France,48.1265682,7.283714199999999
"Jean-Luc Baldès winery ,nan, Southwest France, France",4.0,Jean-Luc Baldès,France,,
"Jean-Marc Bernhard winery ,Alsace, Alsace, France",5.0,Jean-Marc Bernhard,France,48.1078694,7.2822944
"Joseph Cattin winery ,Alsace, Alsace, France",6.0,Joseph Cattin,France,48.0225036,7.2843987
"Joseph Fritsch winery ,Alsace, Alsace, France",4.0,Joseph Fritsch,France,48.1359646,7.2849977
"Josmeyer winery ,Alsace, Alsace, France",5.0,Josmeyer,France,48.0740772,7.2855265
"Kiwi Cuvée winery ,Vin de France, France Other, France",4.0,Kiwi Cuvée,France,,
"Koenig winery ,Alsace, Alsace, France",4.0,Koenig,France,48.3181795,7.441624099999999
"Kuentz-Bas winery ,Alsace, Alsace, France",12.0,Kuentz-Bas,France,48.0349643,7.280920699999998
"L'original French Kiss winery ,Vin de France, France Other, France",5.0,L'original French Kiss,France,,
"L. Tramier & Fils winery ,Vin de France, France Other, France",6.0,L. Tramier & Fils,France,,
"La Cave des Vignerons de Pfaffenheim winery ,Alsace, Alsace, France",8.0,La Cave des Vignerons de Pfaffenheim,France,47.98519659999999,7.292066600000001
"La Forge Estate winery ,Pays d'Oc, Languedoc-Roussillon, France",4.0,La Forge Estate,France,43.5912356,3.2583626
"Le Petit Panier winery ,Vin de France, France Other, France",4.0,Le Petit Panier,France,48.84983889999999,2.3521778
"Le Pépin winery ,Vin de France, France Other, France",5.0,Le Pépin,France,45.926237,-0.71394
"Leon Beyer winery ,Alsace, Alsace, France",5.0,Leon Beyer,France,48.0425465,7.306561599999999
"Les Jamelles winery ,Vin de Pays d'Oc, Languedoc-Roussillon, France",4.0,Les Jamelles,France,43.5912356,3.2583626
"Les Rocailles winery ,Vin de Savoie, France Other, France",5.0,Les Rocailles,France,45.4932045,6.472399999999999
"Les Vignerons de Tutiac winery ,Blaye Côtes de Bordeaux, Bordeaux, France",6.0,Les Vignerons de Tutiac,France,44.837977,-0.5694338999999999
"Les Vignerons de la Méditerranée winery ,Vin de Pays d'Oc, Languedoc-Roussillon, France",4.0,Les Vignerons de la Méditerranée,France,43.172927,2.988797
"Les Vignobles Gueissard winery ,Côtes de Provence, Provence, France",5.0,Les Vignobles Gueissard,France,43.1835067,5.820316099999999
"Lionel Osmin & Cie winery ,Vin de France, France Other, France",8.0,Lionel Osmin & Cie,France,43.32619,-0.3296535
"Louis Bouillot winery ,Crémant de Bourgogne, Burgundy, France",4.0,Louis Bouillot,France,47.0525047,4.3837215
"Louis Sipp winery ,Alsace, Alsace, France",4.0,Louis Sipp,France,48.1929169,7.3236494
"Lucien Albrecht winery ,Alsace, Alsace, France",5.0,Lucien Albrecht,France,47.9318221,7.233848999999998
"M. Chapoutier winery ,Hermitage, Rhône Valley, France",4.0,M. Chapoutier,France,45.0708658,4.839661299999999
"Maison de la Villette winery ,Vin de France, France Other, France",4.0,Maison de la Villette,France,,
"Marrenon winery ,Luberon, Rhône Valley, France",4.0,Marrenon,France,43.7223051,5.545494
"Mas de la Dame winery ,Les Baux de Provence, Provence, France",6.0,Mas de la Dame,France,43.738451,4.824186300000001
"Maurice Schoech & Fils winery ,Alsace, Alsace, France",5.0,Maurice Schoech & Fils,France,48.1242686,7.2859991
