variety,Chile,France,Italy,Portugal,Spain,US
Sauvignon Blanc,0.162493988489353,0.2977769178286853,0.2656088143774966,0.21757892142676646,0.16250732616978952,0.23418084621458804
Sauvignon Blanc-Semillon,0.13636363636363635,0.13953488372093023,,,,0.3515422535217874
Sauvignon Gris,0.22129044213206397,0.16091954022988506,,,,0.4349881796690307
Shiraz,0.20712900433189735,0.23397435897435898,0.19286287089013635,0.14392723381487427,0.1522875816993464,0.29500042735588977
Sparkling Blend,0.2612589596344468,0.25483456936976384,0.4549964588050214,0.2592214125120794,0.22810295119811905,0.39969020594158505
Syrah,0.31871703008852614,0.6207187398107161,0.5883863157992165,0.3427303388521073,0.3461924142385988,0.43228461706287885
Syrah-Cabernet,0.197917691793443,0.27906976744186046,,,,0.42361751332654746
Syrah-Grenache,,0.1934235436494931,,,0.18858514402820736,0.3957947621466193
Syrah-Merlot,0.2247191011235955,0.12790697674418605,,,0.2247191011235955,0.6704545454545454
Sémillon,0.1839080459770115,0.1753115374547178,0.1744186046511628,0.3430120604033648,,0.2803701598576028
Tannat,,0.3950592570334871,0.32558139534883723,,,0.42258431812269115
Tempranillo,0.20796823658269442,,0.3483092255370442,,0.34656447666542667,0.37498003886524794
Touriga Nacional Blend,,,,0.22276315354652673,1.6,0.17204301075268819
Verdelho,,,,0.26409532106911704,,0.20338948547010816
Vermentino,,0.2753396125802392,0.25703239885412943,,,0.254459394196492
Viognier,0.15495777835149363,0.6098437318344133,0.34311147245259715,0.2762419658117908,,0.28033489822016855
Viognier-Chardonnay,0.1739189106746581,0.19318181818181818,,,,0.42721861471861466
White Blend,0.18806927723535033,0.21405449357983153,0.3162216090658656,0.23949696760013459,0.2331754631841297,0.24672232092446916
